temp,humidity,fan_speed,elapsed_time,is_dry
29,81,0,0,0
32,74,1,14.00000024,0
41,48.5,1,25.00000024,0
48.5,30.5,1,38,0
54,18,1,52.00000024,0
57,13,1,65.00000024,0
59,11,1,76.00000024,0
59,9,1,97,0
62,6,1,121,0
63,5,1,142,0
64,4,1,153,0
64,3,1,170.9999998,0
64,3,1,189.9999998,0
64,2,1,208.0000002,0
63,1.5,1,224.0000002,0
61,3,1,240.0000002,0
62,3,1,256.0000002,0
62,3,1,272.0000002,0
63,3,1,286.0000002,0
63,2,1,302.0000002,0
64,2,1,315,0
64,2,1,331,0
64,1.5,1,342.0000002,0
64,1,1,355,0
64,1,1,366,0
64,1,1,385.0000002,0
65,1,1,398,0
66,1,1,414,0
68,1,1,430,0
70,0,1,449,0
70,0,1,465,0
70,0,1,476,0
70,0,1,489,0
71,0,1,500,0
71,0,1,513,0
71,0,1,528.9999998,0
71,0,1,549.9999998,0
71,0,1,560.9999998,0
71,0,1,571.9999998,0
71,0,1,592.9999998,0
71,0,1,606.9999998,0
71,0,1,619.9999998,0
71,0,1,638.9999998,0
68,0,0,649.9999998,1
67,0,0,662.9999998,1
66,0,0,673.9999998,1
64,0,0,700.0000002,1
61.5,0,0,708.9999998,1
60,0,0,721.9999998,1
58,1,0,740.9999998,1
56,2,0,751.0000002,1
54,4,0,773.0000002,1
52,6,0,789.0000002,1
51,7,0,802.0000002,1
49,10,0,818.0000002,1
48,13,0,834,1
46,16,0,855,1
45,18,0,872.9999998,1
44,22,0,883.9999998,1
43,24,0,895,1
43,26,0,909,1
42,31,0,920,1
41,33,0,933,1
41,37,0,952,1
40,40,0,963,1
40,43,0,985.9999998,1
39,45,0,1007,1
39,46,0,1023,1
38,45.5,0,1044,1
37,46,0,1063,1
37,48,0,1081,1
36,49,0,1102,1
36,50,0,1121,1
36,52,0,1137,1
35,53,0,1155,1
35,53,0,1171,1
35,54,0,1185,1
35,55,0,1203,1
34,57,0,1222,1
34,58,0,1235,1
34,59,0,1254,1
34,60,0,1270,1
34,61,0,1283,1
34,62,0,1299,1
34,62,0,1315,1
34,62,0,1326,1
34,62,0,1337,1
34,62,0,1350,1
33,62,0,1366,1
33,63,0,1380,1
33,63,0,1391,1
33,63,0,1409,1
33,63,0,1433,1
33,64,0,1449,1
33,64,0,1462,1
33,64,0,1473,1
33,64,0,1484,1
33,64,0,1498,1
33,65,0,1514,1
33,65,0,1530,1
32,66,0,1543,1
32,66,0,1554,1
32,66,0,1570,1
32,66,0,1583,1
32,66,0,1602,1
32,67,0,1623,1
32,67,0,1634,1
32,67,0,1645,1
32,67.5,0,1666,1
32,68,0,1679,1
32,68,0,1698,1
32,68,0,1719,1
32,68,0,1737,1
32,68,0,1748,1
32,68,0,1759,1
32,69,0,1770,1
32,69,0,1781,1
32,69,0,1792,1
31,69,0,1808,1
31,69,0,1819,1
31,69,0,1837,1
31,69,0,1851,1
31,69,0,1882,1
31,69,0,1898,1
31,69,0,1914,1
31,69,0,1933,1
31,70,0,1946,1
31,70,0,1970,1
31,71,0,1983,1
31,71,0,1994,1
31,71,0,2010,1
31,71,0,2026,1
31,71,0,2042,1
31,71,0,2053,1
31,71,0,2064,1
31,72,0,2075,1
31,72,0,2093,1
31,72,0,2112,1
31,72,0,2125,1
31,72,0,2139,1
31,72,0,2155,1
31,72,0,2168,1
31,72,0,2179,1
31,72,0,2190,1
31,72,0,2206,1
31,72,0,2222,1
31,72,0,2235,1
31,72,0,2256,1
31,73,0,2272,1
31,73,0,2288,1
31,73,0,2299,1
31,73,0,2313,1
31,73,0,2334,1
31,73,0,2345,1
31,73,0,2358,1
31,73,0,2369,1
31,73,0,2390,1
30,73,0,2401,1
30,73,0,2412,1
30,73,0,2423,1
30,73,0,2447,1
30,74,0,2457,1
30,74,0,2471,1
30,74,0,2484,1
30,74,0,2498,1
30,73,0,2514,1
30,74,0,2527,1
30,74,0,2538,1
30,74,0,2549,1
30,74,0,2565,1
30,74,0,2579,1
